n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
4096,32,8,16,1,8192,1,32,0,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,32,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,64,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,96,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,128,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,160,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,192,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,224,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,256,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,288,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,320,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,352,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,384,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,416,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,448,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,480,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,512,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,544,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,576,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,608,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,640,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,672,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,704,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,736,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,768,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,800,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,832,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,864,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,896,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,928,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,960,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,992,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1024,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1056,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1088,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1120,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1152,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1184,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1216,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1248,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1280,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1312,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1344,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1376,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1408,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1440,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1472,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1504,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1536,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1568,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1600,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1632,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1664,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1696,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1728,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1760,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1792,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1824,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1856,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1888,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1920,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1952,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,1984,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2016,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2048,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2080,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2112,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2144,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2176,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2208,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2240,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2272,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2304,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2336,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2368,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2400,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2432,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2464,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2496,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2528,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2560,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2592,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2624,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2656,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2688,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2720,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2752,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2784,True,AttentionBackend.FLASHINFER
4096,32,8,16,1,8192,1,32,2816,True,AttentionBackend.FLASHINFER
